,url,status,title,email,phone,address,copyright,norm_title,scraped_index,company_index,score,address1,city,postal_code,country,founding_date,name,company_number,phone_number,unique_id,norm_name
31,https://fundiq.nl,200,Home Page - FundIQ,mailto:info@fundiq.nl,tel:0202404226,,©2024 fundIQ,home page fundiq,31,4972,59,69 Marshall DR,Edison,08817,US,2022-01-01,Fundi Partners Llc,,+1732-572-2149,238332973,fundi partners llc
32,https://www.systemsnavigator.com/,200,"Systems Navigator | digital twin | Delft, Netherlands",mailto:info@systemsnavigator.com,,,,systems navigator digital twin delft netherlands,32,3576,54,Naritaweg 2,Rozenburg NH,1437EL,NL,2022-01-01,Seko Logistics Netherlands B.V.,86689002,+31206583350,605393772,seko logistics netherlands
34,https://www.plantex.nl/,200,Plantex ,,,,"© 2023 Plantex, Overslag 14, 2771 CE  Boskoop - The Netherlands",plantex,34,1923,100,Overslag 14,Boskoop,2771CE,NL,1994-01-01,Plantex B.V.,29012686,+31172235666,513661424,plantex
35,https://autobedrijfvanbergen.nl,200,Hét betrouwbare occasion adres,,,,"var x = document.getElementsByClassName(""copyright""); var i; for (i = 0; i < x.length; i++) { x[i].innerHTML= ""© MF-Engineering.nl""; }",hét betrouwbare occasion adres,35,8372,55,De Stichtse Rand 42,Rhenen,3911JV,NL,1996-01-01,Adviesbureau Hoorn B.V.,30137240,+31317616369,497416183,adviesbureau hoorn
37,https://claasenshipyards.com,200,Home | Claasen Shipyards,,,,© 2014 Claasen Shipyards,home claasen shipyards,37,7832,84,Stouweweg 33,Zwartsluis,8064PD,NL,2020-01-01,Claasen Shipyard B.V.,80238475,+31383867145,604640718,claasen shipyard
38,https://inpublic.nl,200,Welkom bij InPublic,mailto:info@inpublic.nl,tel:+010-3031860,,,welkom inpublic,38,7159,70,Nikkelstraat 24,Rotterdam,3067GR,NL,2018-01-01,Inpublic B.V.,63500515,+31103031860,602806886,inpublic
40,https://www.steentjesict.nl/,200,"Veilig, zorgeloos en digitaal (samen)werken | Steentjes ICT",mailto:info@steentjesict.nl,tel:0544724190,,© 2023 Steentjes ICT,veilig zorgeloos digitaal samenwerken steentjes ict,40,754,51,Pieter Calandlaan 258 A,Amsterdam,1069KW,NL,1958-01-01,"Stichting Eigenwijks, Organisatie van Samenwerkende Wijkbewoners",41200785,+31203460670,523108480,stichting eigenwijks organisatie samenwerkende wijkbewoners
47,https://forest-it.nl,200,Home - Forest-IT,mailto:email@example.com,tel:+12 34 56 78,,,home forestit,47,3802,76,Pieter de Hooghstraat 1,'s-Hertogenbosch,5212BP,NL,2010-01-01,Forest-It B.V.,50037307,,600962178,forestit
48,https://arnhemnoordfysiotherapie.nl,200,Home - Arnhem Noord Fysiotherapie,mailto:info@arnhemnoordfysiotherapie.nl,,,© Copyright -,home arnhem noord fysiotherapie,48,3276,91,Bakenbergseweg 72,Arnhem,6814MK,NL,2017-01-01,Arnhem Noord Fysiotherapie,69895538,+31880881350,603570623,arnhem noord fysiotherapie
50,https://www.truecolorspublisher.com/,200,True Colors Publisher uitgeverij,,,,"Copyright © 2024,",true colors publisher uitgeverij,50,4209,79,Het Domein 1,Blaricum,1261JP,NL,2023-01-01,True Colors Publisher,92167500,,606051315,true colors publisher
51,https://www.bakkerij-jorritsma.nl/,200,"
      Home | Bakkerij Jorritsma
    ",mailto:info@bakkerij-jorritsma.nl,tel:0519-296555,,,home bakkerij jorritsma,51,2636,88,Rondweg-West 27,Dokkum,9101BE,NL,2003-01-01,Bakkerij Jorritsma B.V.,01100063,+31519296555,519801401,bakkerij jorritsma
52,https://www.lunika.nl/,200,Duurzame bedrijfskleding en uitrusting voor medewerkers - LUNIKA,,tel:+31356669774,,© 2024 LUNIKA. Alle rechten voorbehouden.,duurzame bedrijfskleding uitrusting medewerkers lunika,52,4555,55,Weselseweg 3,Venlo,5916RD,NL,2005-01-01,Mommers Bedrijfskleding,12057284,+31773523331,524810918,mommers bedrijfskleding
54,https://www.crossworx.nl/,200,Datagedreven marketing voor het MKB - Crossworx.nl,mailto:info@crossworx.nl,tel:010%20-%20251%208087,Locatie,© 2020 Crossworx,datagedreven marketing mkb crossworxnl,54,9385,58,Gijsbrecht van Amstelstr 10,Hilversum,1213CK,NL,2023-01-01,May Marketing & Fondsenwerving,91866480,,606016500,may marketing fondsenwerving
56,https://campingdemeibeek.nl,200,Camping de Meibeek ,mailto:info@campingdemeibeek.nl,,,© Camping de Meibeek 2024,camping meibeek,56,5460,100,Bekkenwal 2,Ruurlo,7261RG,NL,2017-01-01,Camping de Meibeek B.V.,69794871,+31573491236,603549822,camping meibeek
58,https://ceelensecurity.nl,200, Ceelen Security ,mailto:info@ceelensecurity.nl,,,,ceelen security,58,1691,100,De la Minestraat 20,Budel,6021PJ,NL,2003-01-01,Ceelen Security B.V.,17106654,+31495498999,513985399,ceelen security
60,https://micro-tech-europe.com/en/,200,Home - MICRO-TECH EUROPE,mailto:contact@MICRO-TECH-europe.com,tel:+4921173276260,,© 2024 MICRO-TECH EUROPE.,home microtech europe,60,6142,86,Lage Mosten 49 Room 213,Breda,4822NK,NL,2007-01-01,Micro-Tech Europe GmbH,76858553,+31767998691,604392709,microtech europe gmbh
61,https://www.handoffatima.nl/,200,"Henna Kunst is verheven tot een lifestyle, | Hand of Fatima",mailto:info@handoffatima.nl,,,Copyright © 2005-2024 Hand of Fatima. Alle rechten voorbehouden.,henna kunst verheven lifestyle hand of fatima,61,63,53,Schouw 23,Bunschoten Spakenburg,3751CC,NL,2017-01-01,Verhoeff Lifestyle & Coaching,67818323,,603323535,verhoeff lifestyle coaching
62,https://www.helmus.nl/,200,A. Helmus B.V. | Home,mailto:info@helmus.nl,tel:+0252222580,,,a helmus home,62,1263,76,Rijksstraatweg 56 A,Sassenheim,2171AM,NL,2002-01-01,A. Helmus B.V.,28051106,+31252222580,524573171,a helmus
63,https://www.gedo.nl/,200,"GEDO, agarisch advies en agrarische producten - GEDO.nl",,tel:0342444507,,,gedo agarisch advies agrarische producten gedonl,63,534,55,Timmermannsweg 47,Ysselsteyn LB,5813AL,NL,2016-01-01,Dadro Administratie & Projecten,66195683,,603129182,dadro administratie projecten
64,https://www.roethofadvocaten.nl/,200,Roethof Advocaten – Arnhem,mailto:info@roethofadvocaten.nl,,,,roethof advocaten arnhem,64,6778,83,Heemskerckstraat 2,Arnhem,6828ZE,NL,2018-01-01,Roethof Advocaten,72957867,+31263705070,603935342,roethof advocaten
65,https://fiets-o-fit.nl,200,Home - Fiets-O-Fit,mailto:info@fiets-o-fit.nl,,,document.write(new Date().getFullYear()),home fietsofit,65,2017,78,Eastwei 4 A,Oppenhuizen,8625HV,NL,2013-01-01,Fiets-O-Fit B.V.,01155253,+31515411134,600554403,fietsofit
67,https://thebodystudio.nl,200,"Semi private personal training Amsterdam Zuid, West en Oost.",mailto:info@thebodystudio.nl,tel:0031202157148,,,semi private personal training amsterdam zuid west oost,67,9611,55,Muiderstraatweg 19,Diemen,1111PS,NL,2010-01-01,Vereniging van Eigenaars Wethouder de Roosplein 2-247 te Amsterdam,34378323,,600834455,vereniging eigenaars wethouder roosplein 2247 amsterdam
68,https://mnbestratingen.nl,200,Tuin laten bestraten in Almere | M&N Bestratingen | jaren ervaring,,tel:0614795985,,Copyright © 2021 – 2024 M&N Bestratingen,tuin laten bestraten almere mn bestratingen jaren ervaring,68,9652,54,Kemphaanstraat 3,Almere,1358AD,NL,1996-01-01,Stichting Beheer Kindervakantieland Almere,41246997,+31365497529,523297727,stichting beheer kindervakantieland almere
70,https://zeelanderij.nl/nl,200,Home | Zeelanderij,,tel:0031111401424,,,home zeelanderij,70,5467,81,Trambaan 21,Zonnemaire,4316AN,NL,2020-01-01,Zeelanderij B.V.,77778162,+31111401424,604502377,zeelanderij
71,https://uxem.com,200,Home - Uxem,mailto:sales@uxem.com,tel:0031320219622,,© Copyright Uxem 2024,home uxem,71,9723,62,Artemisweg 135,Lelystad,8239DD,NL,1975-01-01,Uxem B.V.,28053208,+31320219622,525637578,uxem
72,https://www.fruit-valley.nl/,200,Fruit Valley – Importeur groente en fruit,,,,© Copyright - Fruit Valley BV,fruit valley importeur groente fruit,72,9827,51,Putterweg 23,Ermelo,3851GA,NL,2012-01-01,Leo van der Velden Keukenimport B.V.,08204252,+31341784510,600635726,leo der velden keukenimport
75,https://prestotype.com,200,Used printing machines for sale - Prestotype,mailto:sales@prestotype.com,tel:+31756313222,,,used printing machines for sale prestotype,75,80,52,Kornedijk 20,Buurmalsen,4197RN,NL,2018-01-01,Reineke Psychotherapie & Coaching,71171959,,603723561,reineke psychotherapie coaching
77,https://dornex.nl,200,Brandpreventie; Beperk rookontwikkeling. Maak uw pand brandveilig!,mailto:info@dornex.nl,,,© Copyright 2024 - Dornex B.V.,brandpreventie beperk rookontwikkeling maak uw pand brandveilig,77,5714,49,Wethouder Sangersstraat 314,Beek LB,6191NA,NL,1973-01-01,Coöperatieve Winkeliersvereniging 'Makado' Super-Center Beek U.A.,14026966,+31464374669,515380262,coöperatieve winkeliersvereniging makado supercenter beek ua
80,https://www.bergencosmetics.nl/,200,Bergen Cosmetics – Parfumerie en schoonheidssalons,,,,© 2019 Bergen Cosmetics. All Rights Reserved.,bergen cosmetics parfumerie schoonheidssalons,80,1796,65,W. Dassenstraat 34,Wapserveen,8351GG,NL,2009-01-01,Haarmode & Schoonheidssalon Marije,01147483,+31521321466,600463197,haarmode schoonheidssalon marije
81,https://gittha.nl,200,"Gittha.nl is de winkel voor hoeden, sjaals, dameskleding en cashmere.",mailto:info@gittha.nl,tel:0031655750017,,© 2022 – Gittha.nl – site by,gitthanl winkel hoeden sjaals dameskleding cashmere,81,1727,51,Havenmeesterweg 1,Luchthaven Schiphol,1118CB,NL,2006-01-01,Luchtverkeersleiding Nederland (Lvnl),04062795,+31204062000,600875743,luchtverkeersleiding nederland lvnl
82,https://tomatenkwekerijvanheijningen.nl,200,Tomatenkwekerij van Heijningen,,,,,tomatenkwekerij heijningen,82,1374,100,Oranjepolderweg 33,Maasdijk,2676CM,NL,2015-01-01,Tomatenkwekerij van Heijningen B.V.,27231238,+31174523325,525798503,tomatenkwekerij heijningen
83,https://www.kantersbrandstoffen.nl/,200,Home | Kanters Brandstoffen B.V.,mailto:info@kantersbv.nl,,,,home kanters brandstoffen,83,8908,89,Barchemseweg 84 A,Ruurlo,7261DE,NL,2005-01-01,Kanters Brandstoffen B.V.,08816305,+31573451306,514721862,kanters brandstoffen
85,https://blueonline.nl,200,Zanggroep Out of the Blue – uit Nieuwleusen en omstreken,mailto:secretariaat@blueonline.nl,,,© 2024 Zanggroep Out of the Blue,zanggroep out of the blue nieuwleusen omstreken,85,7445,51,Akropolishof 41,Delft,2624NJ,NL,2001-01-01,Stichting A. Xanî Delft en Omstreken,27199307,,521216778,stichting a xanî delft omstreken
88,https://www.epicurusrealestate.com/,200,Puur vastgoed | Epicurus Pure Real Estate,mailto:info@epicurus.eu,tel:+310183407420,,© 2022 by EPICURUS B.V,puur vastgoed epicurus pure real estate,88,2152,68,Dorpsweg 7,Hoornaar,4223NA,NL,2011-01-01,Epicurus Real Estate B.V.,32116174,+31183407420,525817878,epicurus real estate
91,https://duivenstartpagina.nl,200,Web Server's Default Page,,,,,web servers default page,91,4076,57,Peuldreef 4,Den Hoorn ZH,2635BX,NL,2012-01-01,Delfluent Services B.V.,27260919,+31152195000,520047762,delfluent services
93,https://essentialbrowaesthetics.nl,200,Essential Brow Aesthetics – –,,tel:0702042323,,© Essential Brow Aesthetics –,essential brow aesthetics,93,6210,100,Benoordenhoutseweg 21 Unit 2.26,'s-Gravenhage,2596BA,NL,2020-01-01,Essential Brow Aesthetics,80124976,+31702042323,604635554,essential brow aesthetics
94,https://www.rrkeramiekbranden.nl/,200,RR Keramiekbranden,mailto:info@rrkeramiekbranden.nl?subject=Reactie via site,,,,rr keramiekbranden,94,3813,100,Kerkstraat 55,Elshout,5154AN,NL,2001-01-01,RR Keramiekbranden,17137222,+31416355314,517647151,rr keramiekbranden
96,https://www.natuurlijkkloof.nl/,200,Natuurlijk Kloof - In het hart van de natuur,mailto:info@natuurlijkkloof.nl,tel:+31653837576,,,natuurlijk kloof hart natuur,96,828,71,Lange Aventuurseweg 1,Culemborg,4107LW,NL,2013-01-01,Natuurlijk Avontuurlijk B.V.,57244960,+31345533880,602054790,natuurlijk avontuurlijk
97,https://fixallseeds.com,200,Fix All Seeds,mailto:info@fixallseeds.com,tel:+310653895491,,© Copyright,fix all seeds,97,4670,100,Kanaalstraat 101 B,Someren,5711EG,NL,2018-01-01,Fix All Seeds B.V.,73021423,,603932703,fix all seeds
98,https://www.transcoolbv.com/,200,Home - Transcool,mailto:info@transcoolbv.com,tel:+31174254873,,© Transcool,home transcool,98,1146,78,Christiaan Huygensstraat 5,Strijen,3291CN,NL,2015-01-01,Transcool B.V.,63409739,+31174254873,602796729,transcool
100,https://www.metagro.nl/,200,Home | Metagro,,,,,home metagro,100,7286,74,Rietweg 5,Schelluinen,4209DA,NL,1996-01-01,Metagro B.V.,23084892,+31184601688,497727332,metagro
102,https://tungsten.nl,200,Tungsten B.V.,,,,,tungsten,102,9973,100,Hellingweg 22,Broek in Waterland,1151CS,NL,2002-01-01,Tungsten B.V.,33243431,+31204181448,527690492,tungsten
104,https://www.newworld.com/en-us,200,Official New World: Aeternum Website,,,,"© 2019-2024, Amazon.com, Inc. or its affiliates. All rights reserved. New World, Amazon Games, Amazon, and all related logos are trademarks of Amazon.com, Inc. or its affiliates. The ""PS"" Family logo and ""PS5"" are registered trademarks of Sony Interactive Entertainment Inc. Steam and the Steam logo are trademarks and/or registered trademarks of Valve Corporation in the U.S. and/or other countries.",official new world aeternum website,104,6354,58,Veldensteinlaan 27,Jaarsveld,3413MK,NL,2019-01-01,Vera Hester Official,74721178,,604141934,vera hester official
106,https://ekhonkbal.nl,200,"""Placeholder &ndash; Antagonist""",,,,,placeholder ndash antagonist,106,5558,52,Langeweg 55,Hendrik Ido Ambacht,3343LD,NL,2008-01-01,Aart den Hollander B.V.,24436762,+31786195566,600243434,aart den hollander
107,https://actosgroep.nl,200,Samen bereik je meer | Actos Groep,,,,,samen bereik meer actos groep,107,7365,62,Heerlenseweg 200,Landgraaf,6371HX,NL,2012-01-01,Aps Groep Belettering en Reclame,56270399,+31455351597,601939170,aps groep belettering reclame
108,https://www.villadebuitenkans.nl/,200,Villa de Buitenkans – Wij bieden je kind: Een wereld om te ontdekken,mailto:info@villadebuitenkans.nl,tel:0031513435387,,© Copyright - De Buitenkans,villa buitenkans bieden kind wereld ontdekken,108,3103,52,Burgemeester Falkenaweg 44,Heerenveen,8442LD,NL,2019-01-01,Villa de Buitenkans B.V.,76649148,+31513435387,604364878,villa buitenkans
113,https://www.streetfurnituremontage.nl/,200,Streetfurniture Montage B.V.,mailto:info@streetfurnituremontage.nl,tel:+31(0)348551130,,"©2024 Streetfurniture Montage B.V. Design, developmend en hosting by DreamView ICT & Internet Services",streetfurniture montage,113,1096,100,M A Reinaldaweg 1,Lopik,3411MB,NL,2019-01-01,Streetfurniture Montage B.V.,75111888,+31348551130,604184958,streetfurniture montage
116,https://erener.nl,200,erener.nl,mailto:info@erener.nl,tel:0229-212845,,,erenernl,116,949,67,De Factorij 28 A,Zwaag,1689AL,NL,2010-01-01,Er&Er B.V.,37160607,+31229212845,600813782,erer
119,https://poolmans.nl/nl/,200,Home,,,,© Poolmans Baking Cups 2014 - Powered by,home,119,5625,80,Gronausestraat 140,Enschede,7533BR,NL,2021-01-01,Hoodme,82286167,,604889526,hoodme
120,https://vanderhorstholding.nl,200,Jos van der Horst Holding B.V. – Verhuur van onroerendgoed,,,,,jos der horst holding verhuur onroerendgoed,120,6099,66,Tuinstraat 11,Boekel,5427PR,NL,2002-01-01,Jos van der Horst Holding B.V.,17144276,+31492329024,518452295,jos der horst holding
121,https://catom.nl,200,Catom |,,,,,catom,121,6476,100,Verlengde Poolseweg 32,Breda,4818CL,NL,1998-01-01,Catom B.V.,24287136,+31765232810,514152915,catom
122,https://barklystore.nl,200,barklystore.nl,,,,,barklystorenl,122,5269,88,Nieuwpoortseweg 32,Nieuwpoort,2965AW,NL,2023-01-01,Barkly Store,89514807,,605741192,barkly store
123,https://themeproject.nl,200,Home - The ME Project,mailto:info@themeproject.nl/,,,,home the project,123,4012,81,Gildebroederpad 9,Valkenswaard,5551NE,NL,2018-01-01,The me Project,70843007,,603682703,the project
124,https://stadobetonbouw.nl,200,Stado Betonbouw: Vakmanschap in Betonbouw,mailto:majaleusink@stadobetonbouw.nl,tel:072%20%20531%205785,,© 2024 Stado Betonbouw,stado betonbouw vakmanschap betonbouw,124,5786,58,Berenkoog 36 C,Alkmaar,1822BJ,NL,2013-01-01,Stado Betonbouw B.V.,57628033,+31725315785,602101230,stado betonbouw
125,https://www.vanderwalbergsma.nl/,200,Ons kantoor | Van der Wal & Bergsma,mailto:info@vanderwalbergsma.nl,tel:0513–41 34 44,,,kantoor der wal bergsma,125,8052,75,Torenstraat 48,Joure,8501BW,NL,1981-01-01,Maatschap van der Wal & Bergsma,01163871,+31513413444,600670536,maatschap der wal bergsma
128,https://amsterdamsefrisdrankfabriek.nl,200,Amsterdamse Frisdrank Fabriek - Amsterdamse Frisdrank Fabriek,,,,,amsterdamse frisdrank fabriek amsterdamse frisdrank fabriek,128,9910,66,Asterweg 18 Unit B,Amsterdam,1031HN,NL,2019-01-01,Amsterdamse Frisdrank Fabriek B.V.,75736977,,604259086,amsterdamse frisdrank fabriek
129,https://inducoat.com,200,Home - Inducoat,mailto:info@inducoat.com,tel:(033) 456 23 94,,Copyright © 2023,home inducoat,129,968,76,Spacelab 17 A,Amersfoort,3824MR,NL,1964-01-01,Inducoat B.V.,08059407,+31334562394,528747432,inducoat
131,https://www.wiltec.nl/nl_NL/,200,Wiltec,,tel:+31413244444,,© 2024 - Wiltec,wiltec,131,5978,100,Industrielaan 24,Uden,5406XC,NL,2012-01-01,Wiltec B.V.,54556511,+31413244444,601540202,wiltec
132,https://www.recras.com/nl/,200,Recras – Managementsoftware voor recreatiebedrijven,mailto:info@recras.com,tel:050211 2222,,,recras managementsoftware recreatiebedrijven,132,4448,55,Visdiefhof 7,'s-Gravenhage,2496PD,NL,2017-01-01,Veda Office Management en Projectondersteuning,69171033,,603484332,veda office management projectondersteuning
133,https://kleinjansaardappelhandel.nl,200,Kleinjan's Aardappelhandel - Welcome to the world of potatoes,mailto:info@kleinjansaardappelhandel.nl,tel:+31 (0)186-692900,,,kleinjans aardappelhandel welcome to the world of potatoes,133,4562,60,Zuidoordseweg 6,Goudswaard,3267LW,NL,1999-01-01,Kleinjan's Aardappelhandel B.V.,23092491,+31186692900,514876927,kleinjans aardappelhandel
135,https://javeko.nl,200,Javeko - Koel- en vriescellen & isolatiesysteembouw,mailto:info@javeko.nl,tel:++3176 572 0586,,,javeko koel vriescellen isolatiesysteembouw,135,6385,49,Daalder 15,Deurne,5753SZ,NL,2006-01-01,Isovero Isolatiewerken B.V.,13032579,+31493351178,521725733,isovero isolatiewerken
136,https://dubbelzin.nl,200,"
         Dubbelzin
      ",,,,,dubbelzin,136,7111,67,Zuiderkeerkring 29,Alphen aan den Rijn,2408MT,NL,2001-01-01,Douben B.V.,28092214,+31172497872,518020613,douben
137,https://enzerink-adr.nl,200,NL,,,,,nl,137,6333,67,Gasthuisstraat 24 A,Venlo,5911JK,NL,2008-01-01,cj.nl,14103641,+31773549675,600262981,cjnl
138,https://www.maron.nl/,200,Maron | Thuis in meubels & keukens,mailto:info@maron.nl,tel:0315328141,Navigeer,© 2024 - Maron Meubels & Keukens,maron thuis meubels keukens,138,5688,62,Stationsweg Oost 277,Woudenberg,3931ER,NL,2020-01-01,Velthuizen Keukens B.V.,69082839,+31337200072,603466266,velthuizen keukens
140,https://hmd-engineering.nl,200,home - HMD Engineering bv,mailto:info@hmd-engineering.nl,tel:0031252527978,,,home hmd engineering,140,1209,86,Markweg 17,Nieuw Vennep,2153PG,NL,2006-01-01,Hmd Engineering B.V.,28102917,+31252527978,524083350,hmd engineering
141,https://www.navisite.com/,200,Navisite | Leading Digital Transformation Partner,,,,,navisite leading digital transformation partner,141,590,52,Noorddijk 94,Wormerveer,1521PD,NL,2000-01-01,Ddpp Digital Document Publishing Partners B.V.,35031237,+31756472111,515611555,ddpp digital document publishing partners
145,https://www.mensely.nl/,200,Home - Mensely,,,,,home mensely,145,4491,74,Zwarte Woud 10,Utrecht,3524SJ,NL,2016-01-01,Mensely B.V.,65469054,,603033549,mensely
147,https://www.bitebroadcast.com/,200,BITE Broadcast,mailto:info@bitebroadcast.com,tel:+31853010051,,,bite broadcast,147,5760,61,Twentepoort Oost 14 A,Almelo,7609RG,NL,2021-01-01,Road 2 bi B.V.,73363642,+31885009500,603975952,road 2 bi
148,https://www.realtimeix.com/v5/ix/nl,200,RealtimeIX,mailto:mischa@realtimeix.nl,,,© 2024,realtimeix,148,216,89,Veenweg 7,Nijverdal,7443PA,NL,2018-01-01,Realtime B.V.,71926291,,603807717,realtime
153,https://forus-webdesign.nl,200,Forus WebDesign,,,,,forus webdesign,153,7511,64,Straat 2,Roermond,6042KV,NL,2008-01-01,Frogdesign,14099146,,600144660,frogdesign
155,https://www.funkytime.com/,200,Home | FunkyTime.com,,,,,home funkytimecom,155,6850,69,"Ninovesteenweg 198,  Internal Postal Box 29",Aalst,9320,BE,2016-01-01,Funkytime,0668429770,+3292200876,482455860,funkytime
158,https://reep.nl,200,reep.nl,,,,,reepnl,158,3650,73,Haparandasteiger 6,Amsterdam,1013CZ,NL,2000-01-01,Rekel B.V.,34137723,+31204203035,516360474,rekel
160,https://jacarie.nl,200,Solcon Internetdiensten B.V.,,,,,solcon internetdiensten,160,9856,63,Neerloopweg 10,Breda,4814RS,NL,2023-01-01,Solo Industries B.V.,20112224,+31765411346,600222749,solo industries
