"address1","city","postal_code","country","founding_date","name","company_number","phone_number","unique_id"
"Reitscheweg 35","'s-Hertogenbosch","5232BX","NL","2022-01-01","The Adventure B.V.","16058693","+31736446779","0524125543"
"Kalisstraat 30","Meijel","5768CX","NL","2001-01-01","Strijbos Inbouwcenter","72167092","+31774661201","0603840588"
"Dissel 13","Medemblik","1671NG","NL","2015-01-01","M.P.C. B.V.","64480232","+31227570760","0602917129"
"Vestersbos 17","Zevenaar","6901BV","NL","2015-01-01","Steakhouse Amadeus Silvolde","64415430","","0602919328"
"Laan Corpus den Hoorn 108","Groningen","9728JR","NL","2022-01-01","Allprepare B.V.","87537346","+31850163024","0605498139"
"Van Eysingalaan 49","Utrecht","3527VB","NL","2019-01-01","Ontwerp Studio van Middelaar","73778524","","0604030871"
"Jan Sluijtersstraat 5","Amsterdam","1062CJ","NL","2013-01-01","Stichting Viertaal","32820437","+31203460230","0602863995"
"Overspoor 64 M","Nibbixwoud","1688JH","NL","2011-01-01","ZO Yoga","53449479","","0601395901"
"Takkebijsters 9 A","Breda","4817BL","NL","2016-01-01","Novinvest B.V.","64957071","","0602968068"
"Hooge Veld 43","Rhenoy","4152DA","NL","2020-01-01","Hsr Installatietechniek","80319432","","0604658366"
"Madeweg 36","Monster","2681PM","NL","1973-01-01","Stichting de Boetzelaer","41145038","+31174286610","0522878683"
"2E Slag 7","Rockanje","3235CR","NL","2022-01-01","Beach West B.V.","88362825","+31181407524","0605584036"
"Burg Grothestraat 35","Soest","3761CK","NL","1965-01-01","De Jong Accountants en Belastingadviseurs","31016379","+31356016033","0517560581"
"Jacob van Hattumstraat 33","Groningen","9746AM","NL","2014-01-01","Pamsoftware B.V.","60900407","","0602496498"
"Nieuwstraat 86","Koewacht","4576AM","NL","2011-01-01","Hollaert V.O.F.","68575181","","0603412827"
"Gagelmaat 4 174","Westerbork","9431KT","NL","2008-01-01","Hartman Tolk Nederlandse Gebarentaal","01141104","","0600373230"
"Westerhavenweg 2","Vlissingen","4382NM","NL","2012-01-01","Dutch Offshore Contractors B.V.","56363486","+31852736310","0601949174"
"4224 North Fwy","Fort Worth","76137","US","2011-01-01","Fds inc.","","+1877-602-4179","0143445014"
"Zeewinde 3 Unit H 11","Groningen","9738AM","NL","2008-01-01","Cncstart B.V.","02097820","","0498167699"
"Burg Janssenstraat 10","Staphorst","7951TG","NL","2018-01-01","Talentools Beheer B.V.","05019990","+31522463333","0514398935"
"Panheelstraat 30","Arnhem","6845MA","NL","1958-01-01","Indradjaja B.V.","09026160","+31263820093","0514877169"
"Schouw 23","Bunschoten Spakenburg","3751CC","NL","2017-01-01","Verhoeff Lifestyle & Coaching","67818323","","0603323535"
"Stormezandeweg 15","Wemeldinge","4424EZ","NL","2014-01-01","Budgetfix","61206857","","0602532996"
"Boekweitstraat 23","Nieuw Vennep","2153GK","NL","2020-01-01","2 Achieve B.V.","52504964","+31252809760","0601272893"
"Maasboulevard 24","Zwijndrecht","3331ML","NL","2009-01-01","Universe Shipping B.V.","24471395","+31786124349","0600655586"
"Marie Curiestraat 2","Nijverdal","7442DP","NL","2008-01-01","Moddit B.V.","71539859","+31548612805","0603758758"
"Kapitein Grantstraat 30 A","Emmen","7821AR","NL","1999-01-01","Houthandel W. Bos B.V.","04059244","+31591361516","0514942440"
"Linderflier 16","Vroomshoop","7681ZM","NL","2022-01-01","Gndymondzorg","87313510","","0605480271"
"Van Meekerenstraat 64 D","Rotterdam","3034GD","NL","2011-01-01","Woongebouw Boezemsingel","52677990","","0601295619"
"777 W Glencoe PL","Milwaukee","53217","US","2016-01-01","Vax Vacationaccess","","+1414-934-2900","0125416892"
"Jacob Bontiusplaats 9","Amsterdam","1018LL","NL","2008-01-01","Flow Traders B.V.","33223268","+31207996789","0525517039"
"Geijsterseweg 12","Wanssum","5861BL","NL","2001-01-01","Metaalbewerking en Handelsonderneming de Staalmeesters B.V.","12043272","+31478532050","0516879481"
"Molenvliet 26 A","Wijk Bij Duurstede","3961MV","NL","1994-01-01","Van Uem Autoschade B.V.","30105801","+31343563034","0526256660"
"Zilvergracht 61","Berkel en Rodenrijs","2652HT","NL","2009-01-01","Postfossil B.V.","27334034","+31878757224","0600403013"
"H. Kamerlingh Onnesweg 7 A","Alphen aan den Rijn","2408AX","NL","2000-01-01","Caltop B.V.","28069329","+31172493535","0530737167"
"Adrianastraat 187","Rotterdam","3014XK","NL","2008-01-01","De Rotterdamse School Voor Talentontwikkeling","24433730","","0600205535"
"Zeevangsdijkje 2","Kwadijk","1471EA","NL","2021-01-01","Hoogheemraadschap Hollands Noorderkwartier","48180793","","0604849111"
"Kootwijkerbroekerweg 76","Kootwijkerbroek","3774BV","NL","2010-01-01","Consili B.V.","08225964","+31342435675","0600937195"
"Kornedijk 20","Buurmalsen","4197RN","NL","2018-01-01","Reineke Psychotherapie & Coaching","71171959","","0603723561"
"Rietwijkeroordweg 66 Kwek","Aalsmeer","1432JE","NL","2019-01-01","Hydro Huisman B.V.","09061779","+31297346886","0522322654"
"Cruquiuskade 251","Amsterdam","1018AM","NL","2021-01-01","Adceptional B.V.","73237388","","0603960556"
"Jan Gielenlaan 10","Eindhoven","5626HN","NL","2017-01-01","Annette van Dalsum, Praktijk Voor Integrale Coaching en Therapie","70226598","","0603610798"
"Willibrordusstraat 5","Vught","5262EK","NL","2016-01-01","Alku Bouw","65061381","","0602994994"
"Ceintuurbaan 2 130B","Harderwijk","3847LG","NL","2016-01-01","FR Studio B.V.","09130002","+31341430222","0518881592"
"Gooimeer 3 P 01","Naarden","1411DC","NL","2010-01-01","Pyxis Corporate Finance & Legal Services B.V.","31037892","+31357993500","0527183870"
"Schietboom 2","Veenendaal","3905TD","NL","2006-01-01","Techni Team Ict B.V.","30216755","+31318574395","0526006523"
"Zonnehof 235","Nootdorp","2632BN","NL","2000-01-01","Catching Media","27254245","+31152146760","0519120620"
"Crispijnhof 7","Dongen","5101BL","NL","2014-01-01","Rdim","59691492","","0602397313"
"Stationsstraat 11","Lemelerveld","8152BH","NL","2022-01-01","Autohuis Salland B.V.","86823574","+31382022370","0605411290"
"Breukkruid 11","Veenendaal","3903GP","NL","2016-01-01","Buro Buzz","64990001","","0602986974"
"Universiteitssingel 40","Maastricht","6229ER","NL","2009-01-01","Studievereniging Eunitas","14120204","","0600631195"
"Charloisse Hoofd 95 C","Rotterdam","3087CA","NL","1999-01-01","Emergency Control B.V.","24245482","+31104952018","0529305712"
"Jan David Zocherstraat 76","IJsselstein UT","3404AS","NL","2008-01-01","Helsloot Bouw B.V.","30243592","+31306000806","0600273629"
"Hoofdweg 678","Hoofddorp","2132BT","NL","1999-01-01","Highams Recruitment B.V.","27183702","","0515997516"
"Prunuslaan 17","Roosendaal","4702AL","NL","2023-01-01","rbb. Services","91819105","","0606010238"
"Barbierstraat 10","Etten-Leur","4871KC","NL","2020-01-01","Nick van Dijk Timmerwerken","78102618","+31768871882","0604542925"
"Aresstraat 13 06","Tilburg","5048CD","NL","2015-01-01","Tulpion","63503085","+31132400080","0602807152"
"Radiostraat 1","Hilversum","1223BA","NL","2020-01-01","Para Cima B.V.","80747167","","0604700913"
"Lekdijk 142","Langerak ZH","2967GH","NL","2008-01-01","Htrans B.V.","24430475","+31184601867","0600163048"
"Burgemeester Stramanweg 108 F","Amsterdam","1101AA","NL","2005-01-01","Securitas Direct B.V.","17158925","+318003650365","0600221279"
"Overschieseweg 32","Rotterdam","3044EE","NL","2018-01-01","Aldowa B.V.","24132771","+31102083788","0516601891"
"Prinsengracht 769","Amsterdam","1017JZ","NL","2014-01-01","Million Monkeys B.V.","34216774","","0524240900"
"Oostzeedijk 234","Rotterdam","3063BP","NL","2019-01-01","Okaia B.V.","90690893","+31107633898","0605864827"
"Eikenlaan 320","Groningen","9742AP","NL","2023-01-01","Paddepoel Bikes","88885666","+31505774661","0605665585"
"Oostermeent-Zuid 126","Huizen","1274SW","NL","2023-01-01","Arti Hair B.V.","32097189","+31355251523","0519841942"
"Hoofdstraat 41","Zeijen","9491AD","NL","2020-01-01","Reproservice Zeijen","80581714","+31592291418","0604687206"
"Oranjelaan 10","Nijkerk Gld","3862CX","NL","1969-01-01","Hervormde Gemeente te Nijkerk gld.","14803003","+31332460804","0601525784"
"'S-Gravenweg 155","Capelle aan den IJssel","2902LG","NL","2016-01-01","Jcii B.V.","24430354","+31104508048","0600162901"
"Groot Bollerweg 12 B","Venlo","5928NS","NL","2022-01-01","De Haas Interiorpartner B.V.","87171368","+31773745011","0605454400"
"Voederheil 1","Zeeland","5411RJ","NL","2022-01-01","Jvb Machinery B.V.","86969315","","0605430359"
"Stuijvenburchstraat 7","Eerbeek","6961DP","NL","1994-01-01","Van Driel Transport B.V.","08063230","+31313652635","0529604710"
"Verdraagzaam 16","Amsterdam","1068SB","NL","2017-01-01","Modelmanagament Ali","69196982","","0603486170"
"Rijpstraat 43","Hoek van Holland","3151BV","NL","1917-01-01","Muziekvereniging Rotterdam aan Zee","40343684","","0522052479"
"Plaza 27","Moerdijk","4782SL","NL","2007-01-01","Incore-Cables B.V.","24346989","+31168468100","0519650111"
"Gantel 18","Klazienaveen","7891XA","NL","2022-01-01","Patio Plants B.V.","88792420","+31591391156","0605647618"
"Van Assendelftstraat 14","Waalwijk","5141BW","NL","2016-01-01","Voets Gww","65704460","+31416339428","0603069972"
"Kerkewijk 79 31","Veenendaal","3901EE","NL","2012-01-01","Bewonersvereniging Lautaflat","57451273","","0602079755"
"Wijchenseweg 10 D","Nijmegen","6537TL","NL","2019-01-01","Knns B.V.","10032736","+31885667000","0523265548"
"Oostereinde 11","Winschoten","9672TB","NL","1997-01-01","Uitvaartverzorging Eefting B.V.","02062153","+31597412628","0513456663"
"Van Dijkerf 2","Veenendaal","3907MC","NL","2016-01-01","Klasvanjuflinda","67218830","","0603252202"
"Colosseum 86","Enschede","7521PT","NL","2020-01-01","Yorbody Fysiotherapie Nederland B.V.","52243745","","0605401160"
"Wildenberg 61","Zoetermeer","2716NG","NL","2019-01-01","Mooidee","74201158","","0604080571"
"Touwslagerij 2","Amstelveen","1185ZP","NL","2007-01-01","Gebroeders Gorter Expeditie en Verhuizingen B.V.","33165848","+31206412234","0518090554"
"Suikersilo-Oost 25","","1165MS","NL","2019-01-01","Coney Solutions B.V.","34218805","+31208519700","0600700195"
"Burg Engelbertsstraat 86","Zandvoort","2042KP","NL","1998-01-01","Nihot B.V.","34104375","+31235719802","0513928200"
"Van Gentstraat 41 H","Amsterdam","1055PC","NL","2009-01-01","Bas Amro","52268551","+31105018088","0601244279"
"Handelswei 29","Joure","8501XJ","NL","2023-01-01","Jan Hoogland Mechanisatie V.O.F.","88846962","","0605662122"
"Afhangweg 9","Melderslo","5961EA","NL","2006-01-01","Mindworkz Webdesign & Online Marketing","66526132","+31778514974","0603168995"
"13411 Metro Pkwy","Fort Myers","33966","US","2019-01-01","Scan Design","","+1239-425-0706","0213393570"
"Meer en Vaart 158","Amsterdam","1068ZZ","NL","2005-01-01","Slot Accountants B.V.","34240040","+31203311025","0497639862"
"Den Ong 37","Ravenstein","5371DH","NL","2020-01-01","Fides Hondentraining & Uitlaatservice","80119255","","0604635035"
"Noorddammerlaan 29","Amstelveen","1185XZ","NL","2021-01-01","Bold Minds","81873239","","0604842993"
"Nieuwe Dukenburgseweg 13","Nijmegen","6534AD","NL","2013-01-01","Hegeman Groep B.V.","10019805","+31243817100","0513618515"
"Kolonel Stamfordstraat 15","Hekendorp","3467PT","NL","2003-01-01","Loodgietersbedrijf Dijkstra","30188204","+31182502985","0519755038"
"Ruurloseweg 55","Borculo","7271RS","NL","1997-01-01","Movit B.V.","08071673","","0497691340"
"Hoogstraat 24 B 3","Nijkerk Gld","3862AL","NL","2011-01-01","Meacasa B.V.","51917416","+31333033500","0601201162"
"Boerhaaveweg 52","IJsselstein UT","3401MN","NL","2015-01-01","Promo Extended B.V.","62394568","+31302000272","0602674511"
"Azorenweg 22","Almere","1339VL","NL","1992-01-01","Stichting Triade","23313617","+31365212616","0601398130"
"Hallstein-Nes 5","Bergen NH","1862AS","NL","2011-01-01","Hello Mediation","53208846","","0601360669"
"Bisonspoor 3002 B 804","Maarssen","3605LT","NL","2015-01-01","B Consolidated B.V.","63971070","","0602854118"
"Westerhavenstraat 33","Groningen","9718AK","NL","2012-01-01","Bqpd B.V.","54735580","","0601563853"
"Keizerstraat 209","'s-Gravenhage","2584BE","NL","2004-01-01","Schoon Interieur","27263934","+31703559410","0600533898"
"Bruggeleen 4","Stein LB","6171SK","NL","2001-01-01","Korff Schilderwerken B.V.","14068631","+31464112488","0517058970"
"Provincialeweg Zuid 15","Almkerk","4286LJ","NL","2009-01-01","Adinfra B.V.","18088142","","0498308204"
"Kuifduiker 1","Nieuwegein","3435DW","NL","2009-01-01","Studio de Oorzaak","30252172","+31306031280","0600403776"
"Hogelandsterstraat 1","Uithuizen","9981GD","NL","1940-01-01","Technisch Expert Jansen B.V.","02048680","+31595431650","0526249589"
"Engewormer 18 A","Wormer","1531MV","NL","2018-01-01","Ara Boringen","72387831","","0603866978"
"Noorddammerweg 95","Amstelveen","1187ZS","NL","2019-01-01","Edeltrend B.V.","61649333","+31204264300","0602586564"
"Duivelsbruglaan 88","Breda","4835JJ","NL","2007-01-01","Van de Leur B.V.","20025696","+31765656112","0529700846"
"Halvestraat 20","Deventer","7412VN","NL","2014-01-01","Omzicht","60631694","","0602463882"
"Wagnerplein 27","Tilburg","5011LP","NL","2006-01-01","Eazy Hair Holland B.V.","17869889","+31735482233","0600597941"
"Jelsumerstraat 12","Leeuwarden","8917EN","NL","1934-01-01","Leeuwarder Reddingsbrigade","40000040","","0521422715"
"Achterweg 66","Herwijnen","4171BD","NL","2009-01-01","Csv B.V.","30263838","+31418592980","0600560407"
"Hendrik Kraemerpark 32","Oegstgeest","2341GV","NL","1996-01-01","Highstone B.V.","34092066","+31235322428","0530708822"
"Lijsterlaan 6 A","Lieshout","5737PG","NL","1990-01-01","Consign Concept & Design","57197598","+31499425200","0602048099"
"Nauwe Noorderhorne 1","Sneek","8601CW","NL","1981-01-01","Handelsonderneming de Toverbal","01047305","+31515431094","0514112890"
"Stelvio 17","Amstelveen","1186EE","NL","2023-01-01","Aha Data & bi","89609077","","0605752089"
"Oude Kraan 72","Arnhem","6811LL","NL","2010-01-01","Four Corners B.V.","09130724","+31264420874","0519008262"
"Zwarteweg 4","Rheden","6991EH","NL","2020-01-01","Denk Oplossingen B.V.","81388977","","0604786049"
"Houtkopersstraat 2","Zwijndrecht","3334KD","NL","2017-01-01","Rez Safety Group B.V.","70382557","+31786100321","0603625570"
"Bethaniendwarsstraat 6 D","Amsterdam","1012CB","NL","2018-01-01","Octopus Agents B.V.","71980245","+31207370266","0603809181"
"Stripedyk 2 A","Idskenhuizen","8523NB","NL","2014-01-01","Hoekstra Idskenhuizen B.V.","01064992","+31513431686","0527395572"
"Generaal de la Reijlaan 31","Bussum","1404BN","NL","2010-01-01","Akademia B.V.","50476270","","0601025046"
"Ballade 9","Kampen","8265SB","NL","2020-01-01","Schoonheidssalon Janine","78731089","+31383335001","0604615904"
"Zevenkampse Ring 331 A","Rotterdam","3068HG","NL","2002-01-01","Tandprothetisch Centrum Franke","53021916","+31104568242","0601337007"
"Amerikalaan 70","Maastricht-Airport","6199AE","NL","2000-01-01","Forza Vermogensbeheer B.V.","14065375","+31433502980","0516413984"
"Doornhoecklaan 59","Maarssen","3601JT","NL","2021-01-01","Beijer Projecten","84797096","","0605189844"
"Vogelzankweg 166","Landgraaf","6374AH","NL","2021-01-01","Fransen Milieutechniek B.V.","82335745","+31455311977","0604885577"
"Lange Kleiweg 50 F","Rijswijk ZH","2288GK","NL","2023-01-01","Public Result B.V.","27271850","+31703468816","0524184950"
"Prinsengracht 150 H","Amsterdam","1015EB","NL","1993-01-01","Diba Iure B.V.","34081615","","0528115318"
"Van Oldenbarneveldtstr 92  1","Arnhem","6827AN","NL","2007-01-01","Caplan B.V.","09147108","","0524290143"
"Oudegracht 265 aan de Werf","Utrecht","3511NN","NL","2011-01-01","Floor Media Productions","53013506","","0601336070"
"Fien de la Marlaan 87","Utrecht","3584ZW","NL","2023-01-01","Vakdocent Natuurlijk","91234700","","0605940555"
"Gamanderberg 12","Roosendaal","4708GE","NL","2010-01-01","No Corners Consultancy","50037730","+31165565050","0600962228"
"Bobinestraat 63","Veenendaal","3903KE","NL","1945-01-01","Pluimveehandel van Hunnik B.V.","30071875","+31318527373","0519329885"
"Brouwersweg 100 C 02","Maastricht","6216EG","NL","2019-01-01","Annadal Kliniek B.V.","75393409","+31433479944","0604216920"
"Van Heuven Goedhartstr 121","Schiedam","3119RM","NL","2022-01-01","Bellari Deco","88177327","","0605599767"
"Burg Elkhuizenlaan 20","Halsteren","4661CK","NL","2015-01-01","Montage en Klusbedrijf H. Mai","62251538","","0602658648"
"Gasthuisstraat 16","Kaatsheuvel","5171GG","NL","2023-01-01","Podotherapie MV B.V.","89355342","+31416531616","0605713407"
"Aernt Bruunstraat 14","Rotterdam","3067JE","NL","2021-01-01","A. Arja Dienstverlening","81893450","","0604844626"
"Gatsestraat 4 A","Valkenburg LB","6301AZ","NL","2008-01-01","Rodenco Project en Interim Management","14100719","+31436014688","0600188698"
"Eelerbergstraat 16","Almere","1333ZW","NL","2010-01-01","Stoffen-Online","32171916","","0600940570"
"Twentepoort Oost 61 Unit 09","Almelo","7609RG","NL","2021-01-01","Webova Nederland B.V.","83063455","","0604973554"
"Emmastraat 45 A","Arnhem","6828HB","NL","1997-01-01","Kamille Coaching en Loopbaanbegeleiding","04054492","","0661023628"
"Renbaan 50","Aerdt","6913KL","NL","2006-01-01","Loef Groenvoorziening B.V.","09089532","+31316248618","0600402835"
"A H Verweijweg 42","Berkel en Rodenrijs","2651LX","NL","2023-01-01","Havenaar Amaryllis B.V.","90824350","","0605885364"
"Arent Janszoon Ernststr 157","Amsterdam","1083GS","NL","2019-01-01","Omnimap B.V.","01130545","+31207372354","0600213689"
"Black Alicante 35","Huissen","6851VJ","NL","2020-01-01","Kracht Recruitment B.V.","54459028","+31267024490","0601530538"
"Atoomweg 63","Utrecht","3542AA","NL","2013-01-01","Ethica B.V.","30176188","+31857500070","0517920268"
"Hendrik Marsmanstraat 2","Almere","1321TA","NL","2020-01-01","Kinderopvang Kiekeboe B.V.","80238068","+31368415802","0604640882"
"Ootmarsumsestraat 284 A 9","Almelo","7603AS","NL","1982-01-01","JP van den Bent Stichting","27966364","+31570665770","0602225317"
"Zuidwateringstraat 6","Ritthem","4389TV","NL","2007-01-01","Bouwkundig Constructief Adviesbureau Glashelder","22065631","","0526852651"
"Het Gangboord 4","Drachten","9206BJ","NL","2011-01-01","Salvation Dance Centre","53169921","","0601355598"
"Kamervoort 185","Huissen","6851EE","NL","1973-01-01","Litjens B.V.","10035200","+31263252488","0525389469"
"Waterlandlaan 82","Purmerend","1441MR","NL","2006-01-01","Life Chiropractie B.V.","37127311","+31299451150","0520136938"
"Verdistraat 73","Bunschoten Spakenburg","3752WJ","NL","2015-01-01","Spakenburger Vishandel Koelewijn - de Graaf","64278158","","0602902639"
"Heesterveld 53","Sint Michielsgestel","5271XM","NL","2012-01-01","Boximages","56025637","+31735942740","0601902149"
"Haefland 31","Brunssum","6441PA","NL","2007-01-01","Autoplaza Brunssum B.V.","14078277","+31455643040","0600219166"
"Kortenoord 15","Nieuwerkerk A.D. IJssel","2911BD","NL","1989-01-01","HT Infra B.V.","29034626","+31180313344","0524619585"
"200 Emerald Bay DR Ste 100","Oldsmar","34677","US","2008-01-01","Centurion Cares, inc.","","+1727-431-5300","0135238207"
"Oosteinde 22","Gasteren","9466TA","NL","2011-01-01","Power-Teq","53640543","+31592231498","0601420035"
"Hertzweg 4","Alblasserdam","2952BA","NL","2003-01-01","Bijlbouw B.V.","23079609","+31786995777","0530877484"
"Bijlestaal 10","Broek op Langedijk","1721PV","NL","2008-01-01","De Spuiterij B.V.","36050942","+31226341818","0498552763"
"Cederhage 28","Stadskanaal","9501TX","NL","1913-01-01","Schaakclub Jan Hessel Kruit","40038139","","0521577353"
"Tesselschadelaan 11","Muiderberg","1399VN","NL","2019-01-01","Twee of Meer B.V.","34251189","+31756539389","0525922158"
"Van Galenstraat 1","Breugel","5694CD","NL","2009-01-01","M-Foto","17257481","","0600599999"
"Einsteinstraat 5","Harderwijk","3846BH","NL","2020-01-01","Calduran B.V.","34102838","+31341464000","0513413136"
"Strawinskylaan 1959","Amsterdam","1077XX","NL","2015-01-01","log.iq Niederaula II GmbH","68608098","+31208099251","0603417084"
"Papekopperdijk 19","Papekop","3464HT","NL","2008-01-01","Plomp Funderingstechnieken B.V.","30088739","+31348562486","0518761229"
"Koningstraat 95","Druten","6651KK","NL","2016-01-01","Van Kraaij Educatie B.V.","65088689","+31487745003","0602989551"
"Achterweg 58 A","De Kwakel","1424PR","NL","2022-01-01","Agriom Trade B.V.","34073477","+31297344078","0525754730"
"Gervenhof 60","Putten","3882AT","NL","2004-01-01","L. van OS Holding B.V.","08126639","+31341352898","0523745379"
"Rimpelt 15 A","Afferden L","5851EK","NL","2013-01-01","Beijk B.V.","57452040","+31485531910","0602077809"
"Bergmannstraat 76","Eindhoven","5615KG","NL","2016-01-01","Atelier NL B.V.","66502381","+31407876391","0603162419"
"Veenweg 7","Nijverdal","7443PA","NL","2018-01-01","Realtime B.V.","71926291","","0603807717"
"Kalfstraat 62","Maastricht","6212GX","NL","2023-01-01","Zomerstroom","88964914","","0605703707"
"Danielsweg 21 A","Heinkenszand","4451HP","NL","2022-01-01","Lwps B.V.","88692345","","0605631778"
"Vlotterspad 1","Delfzijl","9934PV","NL","2003-01-01","Drenth Ship Consult","02079156","+31596680152","0519294217"
"Landingsweg 4 A","Schijndel","5482TA","NL","2009-01-01","Mkb in Control","17246958","+31736907302","0600473110"
"Vaartveld 9 B","Roosendaal","4704SE","NL","2019-01-01","Vsr Holding B.V.","69301832","+31165562539","0603493646"
"Deldenerstraat 89","Hengelo OV","7551AC","NL","2006-01-01","L.H. Nijhoff Beheer B.V.","08142427","+31742455640","0497551102"
"Servaasbolwerk 1 A","Utrecht","3512NK","NL","2020-01-01","Concertlab B.V.","72371625","+31302271584","0603858999"
"Nachtegaallaan 13 E","Eindhoven","5613CM","NL","2017-01-01","Vereniging van Ondereigenaars Kavel F","69329826","","0603503034"
"Lankveld 40","Erp","5469VT","NL","2007-01-01","Biemans B.V.","17131169","+31413210136","0516939749"
"Scholtendijk 22","Deurningen","7561AR","NL","2017-01-01","Scholten Bouwadviseurs B.V.","68826699","+31742051005","0603438507"
